0	the system as described above has its greatest application in an arrayed [E21] configuration [E22] of antenna [E11] elements [E12]	11	component	whole
1	the [E21] child [E22] was carefully wrapped and bound into the [E11] cradle [E12] by means of a cord	0	other	other
2	the [E21] author [E22] of a keygen uses a [E11] disassembler [E12] to look at the raw assembly code	5	instrument	agency
3	a misty [E21] ridge [E22] uprises from the [E11] surge [E12]	0	other	other
4	the [E21] student [E22] [E11] association [E12] is the voice of the undergraduate student population of the state university of new york at buffalo	16	collection	member
5	this is the sprawling [E21] complex [E22] that is peru largest [E11] producer [E12] of silver	0	other	other
6	the current view is that the chronic [E21] inflammation [E22] in the distal part of the stomach caused by helicobacter pylori [E11] infection [E12] results in an increased acid production from the non - infected upper corpus region of the stomach	9	cause	effect
7	[E21] people [E22] have been moving back into [E11] downtown [E12]	8	destination	entity
8	the [E21] lawsonite [E22] was contained in a [E11] platinum crucible [E12] and the counter - weight was a plastic crucible with metal pieces	18	container	content
9	the solute was placed inside a beaker and 5 ml of the [E21] solvent [E22] was pipetted into a 25 ml glass [E11] flask [E12] for each trial	8	destination	entity
10	the fifty [E21] essays [E22] collected in this [E11] volume [E12] testify to most of the prominent themes from professor quispel scholarly career	16	collection	member
11	their [E21] composer [E22] has sunk into [E11] oblivion [E12]	0	other	other
12	the pulitzer committee issues an official [E21] citation [E22] explaining the [E11] reasons [E12] for the award	2	topic	message
13	the [E21] burst [E22] has been caused by water hammer [E11] pressure [E12]	9	cause	effect
14	even commercial [E21] networks [E22] have moved into [E11] high - definition broadcast [E12]	5	instrument	agency
15	it was a friendly [E21] call [E22] to remind them about the [E11] bill [E12] and make sure they have a copy of the invoice	2	topic	message
16	texas - born [E21] virtuoso [E22] finds harmony sophistication in appalachian [E11] instrument [E12]	5	instrument	agency
17	the [E21] factory [E22] products have included flower pots finnish rooster - whistles pans [E11] trays [E12] tea pots ash trays and air moisturisers	3	product	producer
18	the girl showed a photo of apple [E21] tree [E22] [E11] blossom [E12] on a fruit tree in the central valley	11	component	whole
19	they tried an assault of their own an hour later with two columns of sixteen tanks backed by a [E21] battalion [E22] of panzer [E11] grenadiers [E12]	15	member	collection
20	their [E21] knowledge [E22] of the power and rank symbols of the continental empires was gained from the numerous germanic [E11] recruits [E12] in the roman army and from the roman practice of enfeoffing various germanic warrior groups with land in the imperial provinces	14	origin	entity
21	she soon had a [E21] stable [E22] of her own rescued [E11] hounds [E12]	15	member	collection
22	the [E21] singer [E22] who performed three of the nominated songs also caused a [E11] commotion [E12] on the red carpet	10	effect	cause
23	his intellectually engaging books and [E21] essays [E22] remain pertinent to illuminating contemporary [E11] history [E12]	0	other	other
24	poor hygiene controls reports of a [E21] brace [E22] of gamey [E11] grouse [E12] and what looked like a skinned fox all amounted to a pie that was unfit for human consumption	15	member	collection
25	this sweet [E21] dress [E22] is made with a [E11] blend [E12] of cotton and silk and the crochet flower necklace is the perfect accessory	0	other	other
26	[E21] suicide [E22] is one of the leading causes of [E11] death [E12] among pre - adolescents and teens and victims of bullying are at an increased risk for committing suicide	10	effect	cause
27	this [E21] article [E22] gives details on 2004 in [E11] music [E12] in the united kingdom including the official charts from that year	2	topic	message
28	we have therefore taken the initiative to convene the first international open [E21] meeting [E22] dedicated solely to [E11] rural history [E12]	2	topic	message
29	the [E21] timer [E22] of the [E11] device [E12] automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets	12	whole	component
30	bob parks made a similar [E21] offer [E22] in a [E11] phone call [E12] made earlier this week	1	message	topic
31	he had chest pains and [E21] headaches [E22] from [E11] mold [E12] in the bedrooms	9	cause	effect
32	the silver - haired author was not just laying india politician saint to rest but healing a generations - old rift in the family of the [E21] country [E22] founding [E11] father [E12]	4	producer	product
33	it describes a method for loading a horizontal [E21] stack [E22] of containers into a [E11] carton [E12]	8	destination	entity
34	the foundation decided to repurpose the building in order to reduce wear and tear on the [E21] plumbing [E22] in the [E11] manor house [E12] by redirecting visitors during restoration projects and beyond	12	whole	component
35	the technology is available to produce and transmit [E21] electricity [E22] economically from otec [E11] systems [E12]	14	origin	entity
36	the medicare buy - in [E21] plan [E22] ran into senate [E11] resistance [E12]	0	other	other
37	the [E21] provinces [E22] are divided into [E11] counties [E12] shahrestan and subdivided into districts bakhsh and sub - districts dehestan	11	component	whole
38	financial [E21] stress [E22] is one of the main causes of [E11] divorce [E12]	10	effect	cause
39	[E21] newspapers [E22] swap content via widgets with the help of the newsgator [E11] service [E12]	5	instrument	agency
40	the [E21] women [E22] that caused the [E11] accident [E12] was on the cell phone and ran thru the intersection without pausing on the median	10	effect	cause
41	the [E21] transmitter [E22] was discovered inside a bed settee [E11] suite [E12] on which he had been sitting	18	container	content
42	the kerala backwaters are a [E21] chain [E22] of brackish [E11] lagoons [E12] and lakes lying parallel to the arabian sea coast of kerala state in southern india	15	member	collection
43	a st paul college [E21] student [E22] was released from [E11] jail [E12] wednesday night after his arrest tuesday in the alleged rape of another student on campus	14	origin	entity
44	[E21] calluses [E22] are caused by improperly fitting shoes or by a [E11] skin abnormality [E12]	9	cause	effect
45	[E21] adults [E22] use [E11] drugs [E12] for this purpose	5	instrument	agency
46	the [E21] councilor [E22] proposed assessing infinitival complements through [E11] elicitation [E12]	5	instrument	agency
47	as in the popular movie deep impact the action of the perseid [E21] meteor shower [E22] is caused by a [E11] comet [E12] in this case periodic comet swift - tuttle	9	cause	effect
48	the following information appeared in the [E21] notes [E22] to consolidated financial [E11] statements [E12] of some corporate annual reports	0	other	other
49	hiphop appropriates the symbols of a consumer society : oversized [E21] diamond [E22] [E11] colliers [E12] are worn	0	other	other
50	the [E21] radiation [E22] from the atomic [E11] bomb explosion [E12] is a typical acute radiation	9	cause	effect
51	the ride - on [E21] boat [E22] [E11] tiller [E12] was developed by engineers arnold s juliano and dr eulito u bautista	11	component	whole
52	a neoplastic [E21] recurrence [E22] arose from an extensive [E11] radiation [E12] induced ulceration	9	cause	effect
53	he has a tattoo on his right arm and [E21] scars [E22] from [E11] stitches [E12] on his right elbow	9	cause	effect
54	whether your home includes a charm of finches a sute of bloodhounds or a [E21] knob [E22] of [E11] toads [E12] i think it is important to keep the numbers within reason	15	member	collection
55	furthermore these ingo practitioners constructed a [E21] discourse [E22] around [E11] participation [E12] which distorted the real significance of participation	2	topic	message
56	kelvin bought a [E21] silver [E22] [E11] ring [E12] which he was so happy with and he keeps wearing it now even though its abit too big haha	0	other	other
57	scientists are in the midst of an ongoing [E21] debate [E22] about the relative [E11] value [E12] of openness and collaboration in their profession	2	topic	message
58	this cut blue and white striped cotton [E21] dress [E22] with red bands on the bodice was in a [E11] trunk [E12] of vintage barbie clothing	18	container	content
59	my major [E21] disagreement [E22] with lyons concerns the [E11] causal part [E12] of his theory	0	other	other
60	both his [E21] feet [E22] have been moving into the [E11] ball [E12]	8	destination	entity
61	the scissors were in a small plastic soap container next to a bar of soap and the [E21] box cutters [E22] were in a [E11] box [E12] next to a bottle of after - shave lotion	18	container	content
62	a great [E21] wing [E22] of fluorite [E11] dragons [E12] the greatest concentration of the rather solitary dragons ever known joined the desperate battle with the blues and silvers against chaos	15	member	collection
63	as a control [E21] cowpea [E22] was sealed in [E11] double bags [E12] without fumigant	8	destination	entity
64	the infectious bacterial disease [E21] brucellosis [E22] has been found in a beef [E11] cow [E12] in eastern idaho	0	other	other
65	as the anglo - norman force sustained but little loss in this battle their archers at the onset showered a hail of arrows upon the irish host who were not protected with mail armour and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy anglo - norman cavalry of mail - clad knights completed the havoc and [E21] rout [E22] of the undisciplined gaelic [E11] hosts [E12]	0	other	other
66	the first incarnation of this series was set in the 1940s during world war ii when the [E21] princess [E22] left her native paradise [E11] island [E12] where amazon women had lived for centuries to help the american foil the nazis	14	origin	entity
67	cieply [E21] story [E22] makes a compelling [E11] point [E12] about modern - day studio economics	2	topic	message
68	we poured the [E21] milk [E22] into the [E11] pumpkin mixture [E12]	8	destination	entity
69	lawyers in detroit also worked overtime as several [E21] lawsuits [E22] ensued from angry and injured [E11] fans [E12]	14	origin	entity
70	the continuing nigerian [E21] outbreak [E22] is the biggest ever caused by the [E11] vaccine [E12]	9	cause	effect
71	our mercenary army has now degenerated into a godless [E21] cabal [E22] of mindless [E11] killers [E12] not unlike the soviets that were butchering civilians in afghanistan exactly as sadistically as we have	15	member	collection
72	the [E21] fire [E22] inside wtc was caused by exploding [E11] fuel [E12]	9	cause	effect
73	the [E21] epithelium [E22] from the knockout mouse bladder is migrating into the transplanted [E11] matrix [E12]	8	destination	entity
74	the [E21] staff [E22] was removed from his [E11] position [E12]	14	origin	entity
75	the [E21] suffering [E22] caused by the [E11] terrorists [E12] is the real torture	9	cause	effect
76	this [E21] love [E22] of nature gift has been reflected in [E11] artworks [E12] dating back more than a thousand years	1	message	topic
77	the [E21] court [E22] decided the objection by making the instalment [E11] order [E12] as sought	3	product	producer
78	in a poetic twist the [E21] tsunami [E22] triggered by the rock [E11] band [E12] forced many american jazz and blues singers to seek work in the united kingdom which is where anderson found a receptive audience in 1965	9	cause	effect
79	[E21] leakage [E22] and fire caused due to [E11] corrosion [E12] of bypass piping for recirculation gas at a fuel oil desulphurization unit	9	cause	effect
80	a team of students from virginia tech university have created a vehicle that allows vision impaired [E21] drivers [E22] to take control of the [E11] wheel [E12]	5	instrument	agency
81	bmw idrive 4 0 brings in a [E21] horde [E22] of new [E11] features [E12]	15	member	collection
82	the metal [E21] ball [E22] makes a ding ding ding [E11] noise [E12] when it swings back and hits the metal body of the lamp	10	effect	cause
83	it consists of an [E21] ensemble [E22] of [E11] ladies [E12] who are highly qualified to play various arabic musical instruments	15	member	collection
84	it underscores the need for continued surveillance of nicotine delivery in [E21] products [E22] created by an unregulated [E11] industry [E12]	4	producer	product
85	unlike other fish grunion come out of the water completely to lay their eggs in the wet [E21] sand [E22] of the [E11] beach [E12]	0	other	other
86	a large [E21] marble [E22] was dropped into the [E11] bowl [E12]	8	destination	entity
87	historical view of the [E21] damage [E22] caused by the 1693 catania [E11] earthquake [E12] and the reconstruction activities	9	cause	effect
88	ai requested that the perpetrators be prosecuted to the fullest extent of the law that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the [E21] suffering [E22] caused by the responsible police [E11] officers [E12]	9	cause	effect
89	the [E21] findings [E22] have been published in a special [E11] section [E12] of the academic journal archives of sexual behavior	0	other	other
90	an amtrak [E21] passenger [E22] who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the [E11] train [E12] and is being held in colorado	14	origin	entity
91	the [E21] introduction [E22] in the [E11] book [E12] is a summary of what is in the text	12	whole	component
92	the second [E21] simulation [E22] was started from the uncomplexed x - ray [E11] structure [E12] after insertion of the ligand into the binding site	14	origin	entity
93	this [E21] user [E22] plays games on a portable [E11] console [E12]	5	instrument	agency
94	the ambitious eurasia [E21] exhibition [E22] arose from an [E11] idea [E12] by achille bonito oliva	14	origin	entity
95	the [E21] driver [E22] of the cement truck cleaned the loading chute on his truck with a truck - mounted water [E11] hose [E12] and began to pull away	5	instrument	agency
96	the marshall plan also provided a way of gaining public acceptance in europe for the new deal format that the united states had successfully used before the war to end the [E21] recession [E22] triggered by the 1929 wall street [E11] crash [E12]	9	cause	effect
97	in the corner there are several gate captains and a [E21] legion [E22] of wu [E11] crossbowmen [E12]	15	member	collection
98	once they grow there the [E21] swelling [E22] and inflammation caused by the [E11] infection [E12] closes off the sac causing it not to shed bacteria and protecting the bacteria inside from antibiotics and your body own immune cells	9	cause	effect
99	guitars are played acoustically; the [E21] tone [E22] is produced by the [E11] vibration [E12] of the strings which is amplified by the body of the guitar which acts as a large hollow resonating chamber or they may rely on an amplifier that can electronically manipulate tone	9	cause	effect
100	flowers are reborn from the soil and the climate begins to warm all set to a [E21] score [E22] improvised by an [E11] orchestra [E12] of birds	0	other	other
101	he posted the [E21] answers [E22] to the [E11] website [E12]	8	destination	entity
102	arcane subtlety reduced the threat caused by polymorph by 40 at max rank though the [E21] threat [E22] caused by the [E11] spell [E12] is minimal	9	cause	effect
103	a [E21] programmer [E22] uses a high level [E11] language [E12] to implement its algorithms	5	instrument	agency
104	the beautiful hydrothermal features in the park geysers hot springs mud pots etc the uplift and subsidence and many of the [E21] earthquakes [E22] are caused by the [E11] movements [E12] of hydrothermal and or magmatic fluids	9	cause	effect
105	flowers are nice but do not last very long and the [E21] fruit [E22] in a fruit [E11] basket [E12] often goes bad	18	container	content
106	he decided to pad the [E21] heel [E22] of [E11] shoes [E12] with a shock absorbing insole or heel pad	12	whole	component
107	from the scots lingle and french ligneul lignoul comes a [E21] shoemaker [E22] sewing [E11] thread [E12] waxed and bristled see waxed end	5	instrument	agency
108	one [E21] tablet [E22] per quart was dropped into a [E11] canteen [E12] and made the water safe to drink	8	destination	entity
109	the tiny [E21] image [E22] of the renaissance master is hidden in a [E11] carafe [E12] of wine in his 1597 oil painting bacchus one of his most acclaimed works	18	container	content
